ორშაბათი,          ~,სამშაბათი,        ~,ოთხშაბათი,         ~,ხუთშაბათი,         ~,პარასკევი,       ~
    10:20,  ქართული,    10:45,ქართული,     10:30,  რუსული,     11:40,ინგლისური,   10:00,ქართული
    11:40, მათემატიკა,    11:40, ისტორია,     11:00, გეოგრაფია,     12:30,მათემატიკა,   11:00,    ქიმია
    13:00, ბიოლოგია,    13:00,   ფიზიკა,     12:00,მათემატიკა,          ,          ,     12:15,   რუსული
         ,          ,         ,         ,           ,         ,          ,          ,        ,           
